from,to
Ecosystem Goods and Services,Provisioning Service
Ecosystem Goods and Services,Regulating Service
Ecosystem Goods and Services,Habitat or Supporting Service
Ecosystem Goods and Services,Cultural Service
Beneficiaries,Agricultural
Beneficiaries,Commercial/Industrial
Beneficiaries,Education/Research
Beneficiaries,Government
Beneficiaries,Non-Use
Beneficiaries,Recreational
Beneficiaries,Residential
Beneficiaries,Subsistence
Indicators and Metrics,Environmental Data
Indicators and Metrics,Social Data
